22	EXTENS
23	FIN
24	FLUI
25	GEOGR
26	GOOD
27	INF
28	INTEL
29	LEGISL
30	MEASUR
31	MEDINF
32	MOV
33	MULT
34	NATIO
35	NEG
36	ORG
37	P-DEV
38	PERCPT
39	PERIO
40	PREDIC
41	PROC
42	PROF
43	PRON
44	QUANT
45	REL
46	SITUAT
47	SOC
48	SOLIDUS
49	SPAC
50	STAT
51	SUBST
52	THINGN
-1	D_COLLOC
0	быть членом
-1	D_CAT
0	ASP
1	GEO
2	LABL
3	LABL.OBJ
4	LABL.PROPERT
5	LABL.SIT
6	OPER
7	PRONO
8	RELAT
-1	D_ENGL
0	-
1	federal
2	production 1
3	the
4	быть членом
5	входить в+В
-1	D_CLS
0	)
-1	D_FIELDS
-1	D_SYN_REL
0	X!
1	вводн
2	к_доп
3	нар_опр
4	нс_опр
5	обст
6	однор
7	отпредик
8	п_доп
9	подл
10	предик
11	прим_опр
12	с_опр
13	соч
14	уточн
-1	D_PART_OF_SPEECH
0	ADJ
1	ADV
2	C
3	CHAR
4	COMPAR
5	INTER
6	NOUN
7	NUM
8	PART
9	PN
10	PN_ADJ
11	PRON
12	PROP
13	SUPER
14	VERB
15	VERB_MODL
16	VERB_PHR
17	Г
18	МС-П
19	Н
20	П
21	ПРЕДЛ
22	ПРИТ_МЕСТМ
23	С
24	СОЮЗ
25	ЧАСТ
26	ЧИСЛ
27	ЧИСЛ-П
-1	D_GROUPS
0	NP_attr
1	NP_poss
2	PN_poss
3	ГЕНИТ_ИГ
4	ДАТА
5	ИГ
6	КОЛИЧ
7	НАР-ЧИСЛ-СУЩ
8	ОДНОР_ИГ
9	ОДНОР_НАР
10	ПГ
11	ПРИЛ-СУЩ
12	ЧИСЛ-СУЩ
-1	D_CASE
0	В
1	Д
2	И
3	П
4	Р
5	Т
-1	D_PREP_COLLOC
-1	D_PLUS
0	+
-1	D_DASH
0	|
-1	D_ACTANTS
0	A1
1	A2
2	A3
3	C
4	C1
5	C2
6	C3
7	C4
8	C5
9	C6
-1	D_HYPHEN
0	-
-1	D_PERCENT
0	%
-1	D_DOMAIN
0	воен
1	геогр
2	культура
3	наука
4	общ
5	полит
6	социо
7	фин
8	эконом
9	юр
-1	D_RESHETKA
0	#
-1	D_FULL_STOP
0	.
-1	D_GENDER
0	М/Ж
-1	D_CONJ
-1	D_BOOL
0	+
1	-
-1	D_ABBR
-1	D_NUMBER
0	ед
1	мн
-1	D_PREP
-1	D_1
0	about+NP
1	about+gerund
2	after+NP
3	against+NP
4	against+gerund
5	along+NP
6	among+NP
7	among+NP_pl
8	and+NP
9	around+NP
10	as if+sent
11	as+ADJ
12	as+NP
13	as+NP'
14	at+NP
15	at+gerund
16	because+sent
17	before+NP
18	between+NP
19	between+NP_pl
20	by+NP
21	by+gerund
22	concerning+NP
23	down to+NP
24	down+NP
25	for+NP
26	for+NP'
27	for+gerund
28	for+perf-gerund
29	from+NP
30	from+gerund
31	if+sent
32	in+NP
33	in+NP'
34	in+gerund
35	into+NP
36	into+NP_pl
37	like+NP
38	like+gerund
39	of+NP
40	of+NP_pl
41	of+gerund
42	off+NP
43	on to+NP
44	on+NP
45	out of+NP
46	over+NP
47	rather than+NP
48	rather than+gerund
49	regarding+NP
50	round+NP
51	that+sent
52	that+subj_clause
53	through+NP
54	till+NP
55	to be+ADJ
56	to be+NP
57	to+NP
58	to+NP_pl
59	to+gerund
60	to+inf
61	to+perf-inf
62	toward+NP
63	towards+NP
64	under+NP
65	until+sent
66	up+NP
67	upon+NP
68	where+sent
69	with+NP
70	with+gerund
71	within+NP
72	без+Р
73	будучи+Т
74	в адрес+Р
75	в виде+Р
76	в вопросе о+П
77	в должности+Р
78	в должность+Р
79	в защиту+Р
80	в значении+Р
81	в качестве+Р
82	в количестве+Р
83	в направлении+Р
84	в области+Р
85	в объеме+Р
86	в отношении+Р
87	в поддержку+Р
88	в пользу+Р
89	в порядке+Р
90	в пределах+Р
91	в размере+Р
92	в рамках+Р
93	в распоряжение+Р
94	в редакции+Р
95	в результате+Р
96	в руки+Р
97	в связи с+Т
98	в системе+Р
99	в системе+Р_мн
100	в случае+Р
101	в соответствие с+Т
102	в соответствии с+Т
103	в составе+Р
104	в составе+двтч
105	в сравнении с+Т
106	в сторону+Р
107	в сумме+Р
108	в сфере+Р
109	в течение+Р
110	в форме+Р
111	в ходе+Р
112	в целях+Р
113	в+В
114	в+П
115	вместе с+Т
116	внутрь+Р
117	во время+Р
118	во имя+Р
119	вокруг+Р
120	вследствие+Р
121	для целей+Р
122	для+Р
123	до сведения+Р
124	до+Р
125	достоинством в+В
126	за время+Р
127	за номером+ЦК
128	за пределами+Р
129	за пределы+Р
130	за счет+Р
131	за+В
132	за+Т
133	из числа+Р
134	из+Р
135	из-за+Р
136	из-под+Р
137	имени+Р
138	исходя из+Р
139	к+Д
140	как+ИГ
141	марки+И
142	между+МНА_Р_и
143	между+МНА_Т_и
144	между+Т
145	между+Т_мн
146	на базе+Р
147	на верность+Д
148	на должности+Р
149	на должность+Р
150	на имя+Р
151	на момент+Р
152	на основании+Р
153	на основе+Р
154	на период+Р
155	на пост+Р
156	на посту+Р
157	на прием к+Д
158	на срок+И
159	на стороне+Р
160	на сумму в+В
161	на сумму+И
162	на счет+Р
163	на тему о+П
164	на тему+Р
165	на тему+двтч
166	на тему+квч
167	на территорию+Р
168	на уровне+Р
169	на уровне+Р_мн
170	на условиях+Р
171	на участке+ИГ
172	на фундаменте+Р
173	на+В
174	на+В_мн
175	на+МНА_В_и
176	на+П
177	над+Т
178	начиная с+Р
179	не в пользу+Р
180	номер+ЦБК
181	номер+ЦК
182	о+П
183	одновременно с+Т
184	от имени+Р
185	от+Р
186	относительно+Р
187	перед+Т
188	по вопросам о+П
189	по вопросам+Р
190	по вопросу о+П
191	по вопросу+Р
192	по делам+Р
193	по делу о+П
195	по маршруту+ИГ
196	по месту+Р
197	по направлению к+Д
198	по обвинению в+П
199	по отношению к+Д
200	по поводу+Р
201	по причине+Р
202	по проблеме+Р
203	по сравнению с+Т
204	по ставке+Р
205	по цене+И
206	по+В
207	по+Д
208	под залог+Р
209	под руководством+Р
210	под эгидой+Р
211	под+В
212	под+Т
213	после+Р
214	посредством+Р
215	при помощи+Р
216	при+П
217	против+Р
218	путем+Р
219	ради+Р
220	с дивидендом+И
221	с должности+Р
222	с помощью+Р
223	с поста+Р
224	с просьбой о+П
225	с просьбой+инф
226	с требованием+Р
227	с требованием+инф
228	с учетом+Р
229	с целью+Р
230	с целью+инф
231	с+В
232	с+Р
233	с+Т
234	силами+Р
235	со стороны+Р
236	со счета+Р
237	соответственно+Д
238	сравнительно с+Т
239	среди+Р
240	сроком на+В
241	стоимостью в+В
242	стоимостью+И
243	тиражом в+В
244	тиражом+И
245	у+Р
246	через+В
247	чествуя+В
248	что+ГГ
249	чтобы+ГГ
250	чтобы+ПРОП
-1	D_START_PHR
0	D_CONJ
1	D_PREP
